Time,Angry,Sad,Disgusted,Happy,Scared,Surprised,Neutral,Domination,Submission,Shame,Tiredness,ID
15,1,0,0,0,0,0,0,1,0,0,0,10
16,1,0,0,0,0,0,0,1,0,0,0,10
17,1,0,0,0,0,0,0,1,0,0,0,10
18,1,0,0,0,0,0,0,1,0,0,0,10
19,1,0,0,0,0,0,0,1,0,0,0,10
20,1,0,0,0,0,0,0,1,0,0,0,10
21,1,0,0,0,0,0,0,1,0,0,0,10
22,1,0,0,0,0,0,0,1,0,0,0,10
23,1,0,0,0,0,0,0,1,0,0,0,10
24,1,0,0,0,0,0,0,1,0,0,0,10
25,1,0,0,0,0,0,0,1,0,0,0,10
26,1,0,0,0,0,0,0,1,0,0,0,10
27,1,0,0,0,0,0,0,1,0,0,0,10
28,1,0,0,0,0,1,0,1,0,0,0,10
29,1,0,0,0,0,1,0,1,0,0,0,10
30,1,0,0,0,0,1,0,1,0,0,0,10
31,1,0,0,0,0,1,0,1,0,0,0,10
31.36,1,0,0,0,0,1,0,1,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,11
1,1,0,0,0,0,0,0,1,0,0,1,11
2,1,0,0,0,0,0,0,1,0,0,1,11
3,1,0,0,0,0,0,0,1,0,0,1,11
4,1,0,0,0,0,0,0,1,0,0,1,11
5,1,0,0,0,0,0,0,1,0,0,1,11
6,1,0,0,0,0,0,0,1,0,0,0,11
7,1,0,0,0,0,0,0,1,0,0,0,11
8,1,0,0,0,0,0,0,1,0,0,0,11
9,1,0,0,0,0,0,0,1,0,0,0,11
10,1,0,0,0,0,0,0,1,0,0,0,11
11,1,0,0,0,0,0,0,1,0,0,0,11
12,1,0,0,0,0,0,0,1,0,0,0,11
13,1,0,0,0,0,0,0,1,0,0,0,11
14,1,0,0,0,0,0,0,1,0,0,0,11
15,1,0,0,0,0,0,0,1,0,0,0,11
16,1,0,0,0,0,0,0,1,0,0,0,11
17,1,0,1,0,0,0,0,1,0,0,0,11
18,1,0,1,0,0,0,0,1,0,0,0,11
19,1,0,1,0,0,0,0,1,0,0,0,11
20,1,0,0,0,0,0,0,1,0,0,0,11
21,1,0,1,0,0,0,0,1,0,0,0,11
22,1,0,1,0,0,0,0,1,0,0,0,11
23,1,0,1,0,0,0,0,1,0,0,0,11
24,1,0,1,0,0,0,0,1,0,0,0,11
25,1,0,1,0,0,0,0,1,0,0,0,11
26,1,0,1,0,0,0,0,1,0,0,0,11
27,1,0,1,0,0,0,0,1,0,0,0,11
28,1,0,0,0,0,0,0,1,0,0,0,11
29,1,0,0,0,0,0,0,1,0,0,0,11
30,1,0,0,0,0,0,0,1,0,0,0,11
31,1,0,0,0,0,0,0,1,0,0,0,11
31.36,1,0,0,0,0,0,0,1,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,12
1,1,0,0,0,0,0,0,1,0,0,0,12
2,1,0,0,0,0,0,0,1,0,0,0,12
3,1,0,0,0,0,0,0,1,0,0,0,12
4,1,0,0,0,0,0,0,1,0,0,0,12
5,1,0,0,0,0,0,0,1,0,0,0,12
6,1,0,0,0,0,0,0,1,0,0,0,12
7,1,0,0,0,0,0,0,1,0,0,0,12
8,1,0,0,0,0,0,0,1,0,0,0,12
9,1,0,0,0,0,0,0,1,0,0,0,12
10,1,0,0,0,0,0,0,1,0,0,0,12
11,1,0,0,0,0,0,0,1,0,0,0,12
12,1,0,0,0,0,0,0,1,0,0,0,12
13,1,0,0,0,0,0,0,1,0,0,0,12
14,1,0,0,0,0,0,0,1,0,0,0,12
15,1,0,0,0,0,0,0,1,0,0,0,12
16,1,0,0,0,0,0,0,1,0,0,0,12
17,1,0,0,0,0,0,0,1,0,0,0,12
18,1,0,0,0,0,0,0,1,0,0,0,12
19,1,0,0,0,0,0,0,1,0,0,0,12
20,1,0,0,0,0,0,0,1,0,0,0,12
21,1,0,0,0,0,0,0,1,0,0,0,12
22,1,0,0,0,0,0,0,1,0,0,0,12
23,1,0,0,0,0,0,0,1,0,0,0,12
24,1,0,0,0,0,0,0,1,0,0,0,12
25,1,0,0,0,0,0,0,1,0,0,0,12
26,1,0,0,0,0,0,0,1,0,0,0,12
27,1,0,0,0,0,0,0,1,0,0,0,12
28,1,0,0,0,0,0,0,1,0,0,0,12
29,1,0,0,0,0,0,0,1,0,0,0,12
30,1,0,0,0,0,0,0,1,0,0,0,12
31,1,0,0,0,0,0,0,1,0,0,0,12
31.36,1,0,0,0,0,0,0,1,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,14
1,1,0,0,0,0,0,0,1,0,0,0,14
2,1,0,0,0,0,0,0,1,0,0,0,14
3,1,0,0,0,0,0,0,1,0,0,0,14
4,1,0,0,0,0,0,0,1,0,0,0,14
5,1,0,0,0,0,0,0,1,0,0,0,14
6,1,0,0,0,0,0,0,1,0,0,0,14
7,0,0,0,0,0,0,0,1,0,0,0,14
8,0,0,0,0,0,0,0,1,0,0,0,14
9,0,0,0,0,0,0,0,1,0,0,0,14
10,0,0,0,0,0,0,0,1,0,0,0,14
11,0,0,0,0,0,0,0,1,0,0,0,14
12,0,0,0,0,0,0,0,1,0,0,0,14
13,0,0,0,0,0,0,0,1,0,0,0,14
14,0,0,0,0,0,0,0,1,0,0,0,14
15,0,0,0,0,0,0,0,1,0,0,0,14
16,0,0,0,0,0,0,0,1,0,0,0,14
17,1,0,0,0,0,0,0,1,0,0,0,14
18,1,0,0,0,0,0,0,1,0,0,0,14
19,1,0,0,0,0,0,0,1,0,0,0,14
20,0,0,0,0,0,0,0,1,0,0,0,14
21,0,0,0,0,0,0,0,1,0,0,0,14
22,0,0,0,0,0,0,0,1,0,0,0,14
23,0,0,0,0,0,0,0,1,0,0,0,14
24,0,0,0,0,0,0,0,1,0,0,0,14
25,0,0,0,0,0,0,0,1,0,0,0,14
26,0,0,0,0,0,0,0,1,0,0,0,14
27,0,0,0,0,0,0,0,1,0,0,0,14
28,1,0,0,0,0,0,0,1,0,0,0,14
29,1,0,0,0,0,0,0,1,0,0,0,14
30,1,0,0,0,0,0,0,1,0,0,0,14
31,1,0,0,0,0,0,0,1,0,0,0,14
31.36,1,0,0,0,0,0,0,1,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,16
1,1,0,0,0,0,0,0,1,0,0,0,16
2,1,0,0,0,0,0,0,1,0,0,0,16
3,1,0,0,0,0,0,0,1,0,0,0,16
4,1,0,0,0,0,0,0,1,0,0,0,16
5,1,0,0,0,0,0,0,1,0,0,0,16
6,1,0,0,0,0,0,0,1,0,0,0,16
7,1,0,0,0,0,0,0,1,0,0,0,16
8,1,0,0,0,0,0,0,1,0,0,0,16
9,1,0,0,0,0,0,0,1,0,0,0,16
10,1,0,0,0,0,1,0,1,0,0,0,16
11,1,0,0,0,0,1,0,1,0,0,0,16
12,1,0,0,0,0,1,0,1,0,0,0,16
13,1,0,0,0,0,1,0,1,0,0,0,16
14,1,0,0,0,0,1,0,1,0,0,0,16
15,1,0,0,0,0,1,0,1,0,0,0,16
16,1,0,0,0,0,1,0,1,0,0,0,16
17,1,0,0,0,0,1,0,1,0,0,0,16
18,1,0,0,0,0,1,0,1,0,0,0,16
19,1,0,0,0,0,1,0,1,0,0,0,16
20,1,0,0,0,0,1,0,1,0,0,0,16
21,1,0,0,0,0,0,0,1,0,0,0,16
22,1,0,0,0,0,0,0,1,0,0,0,16
23,1,0,0,0,0,0,0,1,0,0,0,16
24,1,0,0,0,0,0,0,1,0,0,0,16
25,1,0,0,0,0,0,0,1,0,0,0,16
26,1,0,0,0,0,0,0,1,0,0,0,16
27,1,0,0,0,0,0,0,1,0,0,0,16
28,1,0,0,0,0,1,0,1,0,0,0,16
29,1,0,0,0,0,1,0,1,0,0,0,16
30,1,0,0,0,0,1,0,1,0,0,0,16
31,1,0,0,0,0,1,0,1,0,0,0,16
31.36,1,0,0,0,0,0,0,1,0,0,0,16
